Time (s),Race Time,Speed,Gs
29.8,0.0,63,1.62
29.83,0.0,63,1.62
29.87,0.0,62,1.6
29.9,0.0,60,1.81
29.93,0.0,59,1.87
29.97,0.0,58,1.98
30.0,0.0,58,1.62
30.03,0.0,57,1.1
30.07,0.0,55,0.84
30.1,0.0,54,1.0
30.13,0.0,54,1.3
30.17,0.0,54,1.36
30.2,0.0,53,1.26
30.23,0.0,53,1.08
30.27,0.0,52,1.22
30.3,0.0,52,1.41
30.33,0.0,52,1.24
30.37,0.0,53,1.03
30.4,0.0,54,0.91
30.43,0.0,54,0.85
30.47,0.0,54,0.93
30.5,0.0,54,0.72
30.53,0.0,55,0.61
30.57,0.0,56,0.56
30.6,0.0,56,0.77
30.63,0.0,57,0.9
30.67,0.0,57,1.22
30.7,0.0,58,1.26
30.73,0.0,60,1.17
30.77,0.0,62,1.01
30.8,0.0,63,1.44
30.83,0.0,62,1.7
30.87,0.0,61,1.46
30.9,0.0,62,1.54
30.93,0.0,62,1.14
30.97,0.0,63,1.03
31.0,0.0,63,0.98
31.03,0.0,64,1.01
31.07,0.0,65,0.67
31.1,0.0,65,0.63
31.13,0.0,66,0.94
31.17,0.0,66,1.24
31.2,0.0,67,1.47
31.23,0.0,67,1.49
31.27,0.0,68,1.25
31.3,0.0,68,1.58
31.33,0.0,70,1.48
31.37,0.0,,1.33
31.4,0.0,70,1.49
31.43,0.0,70,1.42
31.47,0.0,,1.3
31.5,0.0,72,1.4
31.53,0.0,72,1.44
31.57,0.0,70,1.87
31.6,0.0,68,2.21
31.63,0.0,66,2.0
31.67,0.0,64,1.34
31.7,0.0,64,1.02
31.73,0.0,63,1.24
31.77,0.0,62,1.41
31.8,0.0,60,1.43
31.83,0.0,8,1.56
31.87,0.0,,1.52
31.9,0.0,56,1.44
31.93,0.0,56,1.44
31.97,0.0,55,1.18
32.0,0.0,55,1.24
32.03,0.0,55,1.4
32.07,0.0,54,1.46
32.1,0.0,53,1.51
32.13,0.0,53,1.63
32.17,0.0,52,1.35
32.2,0.0,51,0.0
32.23,0.0,51,1.04
32.27,0.0,50,0.98
32.3,0.0,50,1.01
32.33,0.0,50,0.56
32.37,0.0,50,0.82
32.4,0.0,50,1.34
32.43,0.0,50,1.63
32.47,0.0,51,1.69
32.5,0.0,51,1.75
32.53,0.0,53,1.52
32.57,0.0,53,1.22
32.6,0.0,55,1.51
32.63,0.0,56,1.19
32.67,0.0,57,1.17
32.7,0.0,58,1.24
32.73,0.0,58,1.15
32.77,0.0,58,1.28
32.8,0.0,58,1.28
32.83,0.0,55,1.35
32.87,0.0,52,1.51
32.9,0.0,47,1.33
32.93,0.0,44,1.69
32.97,0.0,43,1.63
33.0,0.0,42,1.08
33.03,0.0,41,1.39
33.07,0.0,40,1.36
33.1,0.0,37,1.38
33.13,0.0,36,1.56
33.17,0.0,34,1.5
